Ruler: oop | Turn 1 | Score = 3730
Ruler: oop | Turn 2 | Score = 4010
Ruler: oop | Turn 3 | Score = 4139
Ruler: oop | Turn 4 | Score = 4194
Ruler: pop | Turn 1 | Score = 3730
Ruler: pop | Turn 2 | Score = 3730 | Game Over: Ruler has been overthrown by coup
Ruler: sfs | Turn 1 | Score = 1753
Ruler: oop | Turn 1 | Score = 3710
Ruler: oop | Turn 2 | Score = 3970
Ruler: oop | Turn 3 | Score = 4079
Ruler: oop | Turn 4 | Score = 3079 | Game Over: Ruler has been overthrown by coup
Ruler:  | Turn 1 | Score = 3910
Ruler:  | Turn 2 | Score = 4170
Ruler:  | Turn 3 | Score = 4429
Ruler:  | Turn 4 | Score = 4688
Ruler:  | Turn 5 | Score = 4947
Ruler:  | Turn 6 | Score = 5065
Ruler:  | Turn 7 | Score = 5141
Ruler:  | Turn 8 | Score = 5185
Ruler:  | Turn 1 | Score = 3712
Ruler:  | Turn 2 | Score = 3974
Ruler:  | Turn 3 | Score = 4091
Ruler:  | Turn 4 | Score = 4185
Ruler:  | Turn 5 | Score = 4303 | Game Over: Ruler has been overthrown by coup
Ruler: arthur | Turn 1 | Score = 3484
Ruler: arthur | Turn 2 | Score = 3035
Ruler: arthur | Turn 3 | Score = 2580
Ruler: arthur | Turn 4 | Score = 2532
Ruler: arthur | Turn 5 | Score = 2505
Ruler: arthur | Turn 6 | Score = 2481
Ruler: arthur | Turn 7 | Score = 2555
Ruler: arthur | Turn 8 | Score = 2405
Ruler: arthur | Turn 9 | Score = 2253
Ruler: arthur | Turn 10 | Score = 2002
Ruler: arthur | Turn 11 | Score = 1825
Ruler: arthur | Turn 12 | Score = 1642
Ruler: arthur | Turn 13 | Score = 1461
Ruler: arthur | Turn 14 | Score = 1291
Ruler: arthur | Turn 15 | Score = 1132
Ruler: arthur | Turn 16 | Score = 1086
Ruler: arthur | Turn 17 | Score = 1053
Ruler: arthur | Turn 18 | Score = 1029
Ruler: arthur | Turn 19 | Score = 1013
Ruler: arthur | Turn 20 | Score = 1003
Ruler: arthur | Turn 21 | Score = 996
Ruler: arthur | Turn 22 | Score = 992
Ruler: arthur | Turn 23 | Score = 990
Ruler: arthur | Turn 24 | Score = 989
Ruler: arthur | Turn 25 | Score = 988
Ruler: arthur | Turn 26 | Score = 987
Ruler: arthur | Turn 27 | Score = 987
Ruler: arthur | Turn 28 | Score = 987
Ruler: arthur | Turn 29 | Score = 987
Ruler: arthur | Turn 30 | Score = 987
Ruler: arthur | Turn 31 | Score = 987
Ruler: arthur | Turn 32 | Score = 987
Ruler: arthur | Turn 33 | Score = 987
Ruler: arthur | Turn 34 | Score = 986
Ruler: arthur | Turn 35 | Score = 986
Ruler: arthur | Turn 36 | Score = 986
Ruler: arthur | Turn 37 | Score = 986
Ruler: arthur | Turn 38 | Score = 986
Ruler: arthur | Turn 39 | Score = 986
Ruler: arthur | Turn 40 | Score = 986
Ruler: arthur | Turn 41 | Score = 985
Ruler: arthur | Turn 42 | Score = 984
Ruler: arthur | Turn 43 | Score = 982
Ruler: arthur | Turn 44 | Score = 981
Ruler: arthur | Turn 45 | Score = 980
Ruler: arthur | Turn 46 | Score = 980 | Game Over: Kingdom has no population remaining
Ruler:  | Turn 1 | Score = 3464
Ruler:  | Turn 2 | Score = 3589
Ruler: 45 | Turn 1 | Score = 3719
Ruler: 49 | Turn 1 | Score = 3719
Ruler:  | Turn 1 | Score = 3719
Ruler: 12 | Turn 1 | Score = 3724
Ruler: 12 | Turn 2 | Score = 3215
Ruler: 12 | Turn 3 | Score = 3447
Ruler: 12 | Turn 4 | Score = 3642
Ruler: 12 | Turn 5 | Score = 3729
Ruler: 12 | Turn 6 | Score = 3725
Ruler: 12 | Turn 7 | Score = 3633
Ruler: 12 | Turn 8 | Score = 3498
Ruler: 12 | Turn 9 | Score = 4111
Ruler: 12 | Turn 10 | Score = 4053
Ruler: 12 | Turn 11 | Score = 3955
Ruler: 12 | Turn 12 | Score = 3875
Ruler: 12 | Turn 13 | Score = 3796
Ruler: 12 | Turn 14 | Score = 3722
Ruler: 12 | Turn 15 | Score = 3602
Ruler: 12 | Turn 16 | Score = 3443
Ruler: 12 | Turn 17 | Score = 3273
Ruler:  | Turn 1 | Score = 3744
Ruler:  | Turn 2 | Score = 4042
Ruler:  | Turn 3 | Score = 4343
Ruler:  | Turn 4 | Score = 4647
Ruler:  | Turn 5 | Score = 4949
Ruler:  | Turn 6 | Score = 5253
Ruler:  | Turn 7 | Score = 5479
Ruler:  | Turn 8 | Score = 5671
Ruler:  | Turn 9 | Score = 4557
Ruler:  | Turn 10 | Score = 4720
Ruler:  | Turn 11 | Score = 4836
Ruler:  | Turn 12 | Score = 4821
Ruler:  | Turn 13 | Score = 4711
Ruler:  | Turn 14 | Score = 3485
Ruler:  | Turn 1 | Score = 3865
Ruler:  | Turn 2 | Score = 4061
Ruler:  | Turn 3 | Score = 4215
Ruler:  | Turn 4 | Score = 4324
Ruler:  | Turn 5 | Score = 4388
Ruler:  | Turn 6 | Score = 4411
Ruler:  | Turn 7 | Score = 4383
Ruler:  | Turn 8 | Score = 4322
Ruler:  | Turn 9 | Score = 4237
Ruler:  | Turn 10 | Score = 4133
Ruler:  | Turn 11 | Score = 3990
Ruler:  | Turn 12 | Score = 3845 | Game Over: Ruler has been overthrown by coup
